Description,Actions,Objects
make a choice and proceed with recipe,"make, proceed","choice, recipe"
"depending on size of squash , cut into half or fourths","cut, depend","fourths, half, size, squash"
"for spicy squash , drizzle olive oil or melted butter over each cut squash piece","melt, squash","cut, drizzle, melted butter, olive, olive oil, piece, squash"
season with mexican seasoning mix ii,mix,seasoning mix
"for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece","grate, melt, squash","butter, cut, drizzle, honey, piece, piloncillo, sweet squash"
season with sweet mexican spice mix,mix,"season, spice, sweet mexican spice mix"
"bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin","depend, pierce","degrees, fork, hour, minutes, size, skin"
be careful not to burn the squash especially if you opt to use sugar or butter,"burn, butter, opt, use","squash, sugar"
"if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking","bake, cover, feel, give, take","aluminum, aluminum foil, first half hour, squash"
"if desired , season with salt",desire,salt
preheat oven to 425 degrees f,preheat,degrees
press dough into the bottom and sides of a 12 inch pizza pan,press,"bottom, inch, inch pizza, press, press dough, sides"
bake for 5 minutes until set but not browned,"brown, set","bake, minutes"
cut sausage into small pieces,cut,"sausage, small pieces"
whisk eggs and milk in a bowl until frothy,whisk,"bowl, frothy, milk, whisk, whisk eggs"
spoon sausage over baked crust and sprinkle with cheese,sprinkle,"baked crust, cheese, spoon, spoon sausage"
pour egg mixture slowly over sausage and cheese,pour,"cheese, egg, pour, pour egg mixture, sausage"
bake 15-20 minutes or until eggs are set and crust is brown,set,"crust, eggs, minutes"
brown ground beef in large pot,store,"brown ground beef, ground, large pot"
add chopped onions to ground beef when almost brown and sautee until wilted,"add, chop, ground, wilt","beef, chopped onions, sautee"
add kidney beans if you like beans in your chili,"add, like","beans, chili, kidney, kidney beans"
cook in slow cooker on high for 2-3 hours or 6-8 hours on low,cook,"hours, slow cooker"
serve with cold clean lettuce and shredded cheese,"serve, shred","cold clean lettuce, shredded cheese"
place potatoes in a large pot of lightly salted water and bring to a gentle boil,"bring, salt","gentle boil, large pot, place, place potatoes, salted water"
cook until potatoes are just tender,cook,"cook, potatoes"
"place potatoes in a large bowl and add all ingredients except the""alouette""",add,"ingredients, large bowl, place, place potatoes, the""alouette"
mix well and transfer to a buttered 8x8 inch glass baking dish with 2 inch sides,"bake, mix, transfer","buttered inch glass, dish, inch, inch sides"
press the potatoes with a spatula to make top as flat as possible,"make, press","potatoes, spatula"
set aside for 2 hours at room temperature,set,"hours, room, room temperature"
"spread""alouette"" evenly over potatoes and bake 15 minutes",bake,"minutes, potatoes"
garnish with finely diced red and yellow bell peppers,dice,"bell peppers, red bell"
"mix all ingredients& boil for 2 1 / 2 hours , or until thick","boil, mix","hours, ingredients"
i use'old' glass ketchup bottles,use,"glass, glass ketchup, ketchup bottles"
it is not necessary for these to'seal,seal,to'seal
"'my amish mother-in-law has been making this her entire life , and has never used a'sealed' jar for this recipe , and it's always been great !","a'seale, make, use","a'sealed jar, amish mother, entire life, law, recipe"
cover and blend until smooth,cover,blend
toast the fennel seeds and lightly crush them,crush,"fennel, fennel seeds, toast"
"place all the ingredients in a bowl , stir well","place, stir","bowl, ingredients"
cover and leave to marinate the dish,"cover, leave, marinate",dish
keep refrigerated and use within 1 to 2 days,"refrigerate, use",days
"in a medium saucepan combine all the ingredients for sauce#1 , bring to a full rolling boil , reduce heat to medium low and simmer for 1 hour , stirring often","bring, combine, reduce, roll, simmer, stir","full rolling boil, heat, hour, ingredients, medium, medium saucepan"
"rub the ribs with soy sauce , garlic , ginger , chili powder , pepper , salt and chopped cilantro , both sides !","chop, rub","chili, chili powder, chopped cilantro, garlic, ginger, pepper, ribs, salt, sides, soy, soy sauce"
wrap ribs in heavy duty foil,wrap,"duty, heavy duty foil, wrap ribs"
